"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"JP2E";"JP2";"VCCO_SEL";"JUMPER";"";
"1";"";"R0402";"0402";"R4";"";"";
"2";"100n";"C0402";"0402";"C12, C14";"";"";
"4";"10n";"C0402";"0402";"C6, C7, C10, C11";"";"";
"2";"10u";"C-EUC0805K";"C0805K";"C8, C9";"CAPACITOR, European symbol";"";
"1";"1k21";"R0402";"0402";"R9";"";"";
"2";"1u";"C0402";"0402";"C3, C4";"";"";
"1";"219-02J";"219-02J";"CTS-219-02J";"SW1";"Surface Mount DIP Switch Series 219 SMT";"";
"1";"221";"R0402";"0402";"R5";"";"";
"1";"365";"R0402";"0402";"R8";"";"";
"1";"37R4";"R0402";"0402";"R3";"";"";
"1";"470n";"C0402";"0402";"C5";"";"";
"2";"4n7";"L0402";"0402";"L1, L2";"";"";
"2";"4u7";"C0402";"0402";"C1, C2";"";"";
"2";"5k";"TRIM_EU-3223W";"3223W";"R6, R7";"POTENTIOMETER";"";
"2";"75";"R0402";"0402";"R1, R2";"";"";
"1";"GS3440";"GS3440";"QFN65P400X400X90-17T260N";"U1";"Adaptive Cable Equalizer";"";
"1";"HD-BNC";"HD-BNC";"034_1018_12G";"J1";"HD BNC 75 Ohm";"";
"2";"SMA132357";"SMA132357";"SMA";"J2, J3";"SMA 50 Ohm End Launch Jack Receptacle - Round Contact";"";
"2";"SMD-JUMPER";"SMD-JUMPER";"SMD-JUMPER";"JP1, JP2";"";"";
"3";"TAB_37800568(MSTIN)";"TAB_37800568(MSTIN)";"HOLE_1-3";"3V3, GND, VCCO";"";"";
"2";"TPTP06R";"TPTP06R";"TP06R";"OP_CTL, SQ_ADJ";"Test pad";"";
